Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-07-25 13:44:51,1,0,0,1,0,3,20,3,2,2,0,2,,,
2026-07-25 13:49:28,2,0,1,1,1,4,28,3,3,0,1,2,50 Loic Cleveland,08 Chassy Jones,45 Thomas Cain
2026-07-25 13:55:48,3,1,1,0,0,1,2,1,1,0,1,0,,,
2026-07-25 13:58:31,4,1,2,1,0,1,13,1,0,1,0,0,,,
2026-07-25 14:01:10,5,1,3,1,1,2,16,1,1,0,0,1,22 Theo Chandler-Nantel,09 Chase Alexander,45 Thomas Cain
2026-07-25 14:05:21,6,2,3,0,1,1,6,0,0,0,1,0,50 Loic Cleveland,08 Chassy Jones,85 Antoine Turcotte
2026-07-25 14:08:29,7,3,3,0,0,0,0,0,0,0,0,0,,,
2026-07-25 14:12:08,8,3,4,1,0,0,0,0,0,0,0,0,,,
